"NAME";"ORIGINAL SIZE";"AFTER RESTRICTING TO DATASET";"STATUS"
"ASTROCYTE_DEVELOPMENT (GO:0014002)";43;34;""
"ASTROCYTE_DIFFERENTIATION (GO:0048708)";90;78;""
"ASYMMETRIC_CELL_DIVISION (GO:0008356)";19;18;""
"ASYMMETRIC_NEUROBLAST_DIVISION (GO:0055059)";6;NA;"Rejected!"
"ATF6_MEDIATED_UNFOLDED_PROTEIN_RESPONSE (GO:0036500)";10;NA;"Rejected!"
"ATP_BIOSYNTHETIC_PROCESS (GO:0006754)";104;93;""
"ATP_EXPORT (GO:1904669)";10;NA;"Rejected!"
"ATP_METABOLIC_PROCESS (GO:0046034)";236;214;""
"ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT (GO:0042773)";101;94;""
"ATP_TRANSPORT (GO:0015867)";24;20;""
"ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION (GO:0099624)";11;NA;"Rejected!"
"ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_COMMUNICATION (GO:0086066)";19;NA;"Rejected!"
"ATRIAL_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT (GO:0003228)";23;18;""
"ATRIAL_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS (GO:0055009)";7;NA;"Rejected!"
"ATRIAL_SEPTUM_DEVELOPMENT (GO:0003283)";23;20;""
"ATRIAL_SEPTUM_MORPHOGENESIS (GO:0060413)";16;NA;"Rejected!"
